束ID,9相談,束,質問原文（受講生名・スタッフ名マスク済み）,日時,出典行(questions_all_full.csv)
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,前回問い合わせした内容の回答が途中で切れてるようなので、別の勉強を行いながら続きを待っていたのですが、別のところから質問の回答全文を見れるのでしょうか？ スキルプラスの中では回答は見れなかったです。 また、進めるコースの変更、もしくは同時進行も考えているのですがその場合はこちらで選択して進めて良いのでしょうか？,2026-05-07 10:42:37,1255
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,前回問い合わせした内容の回答が途中で切れてるようなので、別の勉強を行いながら続きを待っていたのですが、別のところから質問の回答全文を見れるのでしょうか？ スキルプラスの中では回答は見れなかったです。 また、進めるコースの変更、もしくは同時進行も考えているのですがその場合はこちらで選択して進めて良いのでしょうか？,2026-05-07 10:42:37,1256
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,前回問い合わせした内容の回答が途中で切れてるようなので、別の勉強を行いながら続きを待っていたのですが、別のところから質問の回答全文を見れるのでしょうか？ スキルプラスの中では回答は見れなかったです。 また、進めるコースの変更、もしくは同時進行も考えているのですがその場合はこちらで選択して進めて良いのでしょうか？,2026-05-07 10:42:37,1257
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,「【☆1】スキルプラス入門コース」を達成しました！🎉 #スキルプラス,2026-05-07 12:11:14,1266
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さま いつもご対応ありがとうございます！ ONEで ほぼスタートでつまづいてしまい スキルプラスでの学びのお陰でなんとか進んでいます💦 これから活躍できるように 頑張ります(頑張る) ◯◯さんのメッセージの件、 お友だち追加 が出来ないのです💦 何度か時間をおいて試してはみるのですが、 また何度か試してみます！！ 中根,2026-05-07 15:03:02,1286
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスの前のやつはだいたい終わってるのですがアップデート版はまだぜんぜんです 今月で1年となりますが、来月から観れなくなってしまうのでしょうか? アップデート版は以前のものとは違いスキルになりそうなコンテンツ◯◯さんありもう少し学びたいです,2026-05-08 07:25:36,1402
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,１今回の企画について 2スキルプラス生に優遇があるのかどうか 3動画を見てくださいとかはいりません、正直、SNSに転がってるような情報しかサポートされてないので。,2026-05-10 00:42:18,1594
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラス運営 ご担当者 様 お世話になっております。 ◯◯です。 こちらのコースですが、 まだまだサポートAIに 聞きながらではないと 専門用語や工程を 覚えるのが完璧とは 言えませんが 無事、終わりました。 次の流れをご一緒に 考えていただけると 幸いです。 ご確認お願いいたします！,2026-05-10 05:47:20,1601
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ありがとうございます😭 正直A Iカレッジに入って2年過ぎ、どんどん変わってしまうAIに私は無理なのかもと諦めかけていたのですが、今回◯◯さん◯◯さんの企画と、スキルプラスのサポートにもう一度頑張ってみようと思っております。,2026-05-10 12:37:12,1620
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ありがとうございます😭 正直A Iカレッジに入って2年過ぎ、どんどん変わってしまうAIに私は無理なのかもと諦めかけていたのですが、今回◯◯さん◯◯さんの企画と、スキルプラスのサポートにもう一度頑張ってみようと思っております。,2026-05-10 12:37:12,1621
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,先ほどはありがとうございました☺️✨様々引き出してくださり有り難かったです。自分の強みも大事にしながら行動に移したいと思います🏃‍♀️‍➡️スキルプラスの講座もぽちぽち興味のあるもの観てみたいと思います。 また次回もよろしくお願い致します🙇‍♀️,2026-05-11 15:28:12,1811
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ADD×ONEプロジェクトに入会しましたが、ほぼONEに入会した形になってしまって若干戸惑っています…！笑 ただ、スキルプラス生ということで入会費をとても優遇していただけてありがたかったです(泣く) ADD×ONEで爆速で結果出して、スキルプラスでも結果出します！ 大好きなアドネスに絶対恩返しするぞ(炎)♡♡ 佐々木 桃子,2026-05-11 21:49:35,1939
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,頼もしいお言葉、ありがとうございます(ありがとう) ところで、スキルプラスっていろいろコースがあるんですか？ 自分が何コースか良くわかってないので（笑）、教えて下さい。,2026-05-12 12:57:46,2103
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,わざわざコメントありがとうございます。 少しでもgiveできるように 自分も何か手にしたいです。 ただ、皆さんとスキルプラスを通して関われたことは ◯◯さんのいただけてありがたいです。,2026-05-12 15:20:13,2119
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯様 お世話になります！ お忙しいところ、ご丁寧なご返信をくださりありがとうございます(泣く)✨ 3月のプライム合宿で学んだことを活かしてやりたいこともあるし、スキルプラスでの学びも活かしたり更に深めたりしていけたらと考えております…！ 引き続きよろしくお願いいたします(お願いします) 佐々木,2026-05-12 16:26:12,2140
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,承知しました！ 引き続き宜しくお願いします(よろしく) 結果を出してスキルプラスに貢献できると幸いです🙇‍♂️,2026-05-12 16:31:55,2145
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ありがとうございます(*^^*) モチベーションを保つためにも、スキルプラスを進めて行きます‼️ また何か分からない事などあれば、ご連絡させて頂きます🙇‍♀️,2026-05-12 17:02:20,2154
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お返事ありがとうございます ◯◯さん◯◯くんの熱い想いを受けスキルプラスで結果を出したい‼️と心から思います。 そしてみんなが可能性を諦めない世の中にしたいです。,2026-05-12 19:12:41,2192
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,なるほど、「スタンダードプラン」ですね 承知しました！ 忙しい中、丁寧に、ありがとうございます。,2026-05-13 18:38:45,2373
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,もし可能であれば、スキルプラスに 「AIコンサル育成コース」みたいコンテンツがほしいです。 コンサル未経験なので コンサルとはから、AI以外に必要なスキルなど まとめてほしいです！,2026-05-14 06:55:26,2424
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスをあまり利用してないし、今後使うことはあまりないと考えてます。,2026-05-14 13:20:18,2451
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,この度は大変貴重な一枠を頂き、◯◯さん◯◯さんには心から感謝申し上げたいと思います。 宜しくお願いします。 ※ここからはグループLINEには載せられない私の本当の気持ちを記させて頂きます… 昨日の最終合否発表のさなか、◯◯さんが体調を崩して休息をされていたとのことで、皆さん◯◯様に私も大変心配していました。 その時◯◯さんが疲労困憊で休まれている写真を見て私は思いました。 「こんなに無理されてまで、頑張ってくれていたなんて…」（涙） そしてその写真か◯◯さんの思いがひしひと伝わ◯◯様な気がしました。 それは……… 今回縁あって合格された方、その一方で残念ながら望みを叶えられなかった方々… 参加された方の一人一人が抱◯◯様々な思い、それはあのプロフィールに集約されていたと思います。 ・理想とはかけ離れた人生に辟易する人。 ・経済的にも厳しい現実を語る人。 ・これを機に夢や理想に向かって走り出そうとする人。 ・人生を変えるべく人生をリスタートさせたいと思っている人。 ・◯◯さん、◯◯さんの信念に心から共感する人…。 実にさまざまな思いがそこにはあったと思います。 それが100人…1000人…更に5000人ともなれば、その思いは途轍もない重圧として、肩に重くのし掛かってきたことでしょう。 ※それは図らずも合否の選抜という究極の選択を迫られ、どうすべきか悩まれ自問自答されたと思います…。 一人一人に込められた大きな夢や希望、また背負っているものは違えども共通することは〔giveの精神と、より良く生きようという姿勢〕。 人生の転機になるかもしれないこの素晴らしい機会を、1人でも多くの方に価値を提供してあげたい。しかしそれは人数的に難しいこと。 〔理想と現実の狭間での葛藤〕 それを己の判断で決めてしまう呵責に苛まられ、その思い・責任の重さから身体的不調を来して頭がオーバーヒートしてしまったのだと… 夜半には心配する皆さんを気遣って、写真を載せられて回復をアピールされていましたが、本当は心身共に疲弊しきっておられる状態であった思います。そして今すぐ休養して欲しいけどそれは出来ない状況にあることもみんな気づいていたと思います。だから今は静かに見守るしかないのだと…。 あの時の写真から感じた「心配しなくても大丈夫」という笑顔の裏に今休む訳には行かない理由がそこにはあり、責任を全うされようとする真摯な姿勢が毅然とした態度として現れていた気がしました。 今日の合否発表が済まれたら、本当にゆっくりと休まれて一旦心身共にリセットして下さい。 ◯◯さんは本当に皆んなの幸せの為に、我が身を顧みずに身を粉にしてまで働かれる素晴らしい方。そして誰よりも気配り出来る心優しい方と私は思います。 私はスキルプラスに入会し、ニ年間見てきて心からそう感じました。 更に今回の胸打つ三つの動画か◯◯さんとの壮大な企画を描いて具現化していく過程を見てそう確信しました。 私もこの1年本当に苦しみ、もがき続けて来ました。辛く苦しい日々でも気がつくとそこに◯◯さんやアドネスの皆さんが気にかけ見守って下さり、本当に支えてくれていました。そして分かったこと、『決して一人ではないのだと…』 今私がここにあるのは、皆さんが居てくれたからに他ありません。それは私自身骨身に沁みて感じいるからです。 本当に心から感謝しています。 最後になりますが、◯◯さん◯◯さんは真の価値提供をして、賛同するみんなに幸せを提供出来る【選ばれし希望の星】であります。 これからもその信念を持って真っ直ぐに突き進んで行って下さい。その正しい信念は必ずや身を結ぶと私は信じています。（沢山の御二方を慕う仲間の皆さんと共に…） そして私たちの希望の灯火として、私たちを照らし続け【光り輝く星】であり続けて下さい。 その【光輝星】たるお二方の眩しく大きな背中を私たちはずっと追いかけて行きたいと思います。（1人として脱落せず、各々が目指す目標を達成し、幸せを掴み取るその日が来ることを信じて）,2026-05-18 10:46:29,2734
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスって1日いくつくらい進めたらいいんでしょ？,2026-05-18 13:48:22,2755
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お世話になっております。◯◯と申します。 3月頃から本業の多忙さから、心身共に体調を崩しておりまして、受講を出来る状況ではなかったため、暫くアクセスしておりませんでした。 少し落ち着いてきたので、先日ログインしたところ、受講出来るものがゼロになっておりました。一定期間受講していなかった場合、そうなってしまうのでしょうか？ 少しずつでも、受講再開したいのですが、お願いできますでしょうか? ご対応を宜しくお願い致します。,2026-05-18 18:48:59,2785
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスを利用できるのは一年間のみでしたか？,2026-05-18 19:07:16,2791
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスを利用できるのは一年間のみでしたか？,2026-05-18 19:07:16,2792
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスを利用できるのは一年間のみでしたか？,2026-05-18 19:07:16,2793
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,アドワンプロジェクトに参加しました。しばらくしてから再開します！,2026-05-18 22:11:39,2825
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,かしこまりました。 中々取り組めず５ヶ月経ってしまっていたので気になりました。 チャットbot作成をやってましたが 今ならどのコースを受けるのが最適なのでしょうか。 もちろん自分がどこを目指すのかによって変わると思いますが。,2026-05-20 00:10:11,2892
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,色々考えた結果スキルプラス辞めようと考えてるんですがお話頂けますでしょうか？,2026-05-20 16:43:01,2933
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ありがとうございます😭 スキルプラスをコツコツ頑張りたいと思います,2026-05-20 17:56:18,2950
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ADD×ONEプロジェクトに参加することになったので、当面はそちらに集中して取り組み、その間はスキルプラスはお休みします。 ADD×ONEプロジェクトで余裕が出てきたら、またスキルプラスを再開しますので、その時はまたよろしくお願いいたします。,2026-05-22 23:35:08,3200
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスにお金払っているのでこれ以上は無理です😢,2026-05-23 20:15:17,3283
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ADD×ONEプロジェクトを同時並行していくにあたり、ONEスタッフさんにはその思いをありのままお伝えました。 （以下に記載） これからも私は第1に◯◯さんのスキルプラスを主軸として頑張っていく所存なので、これからもよろしくお願いします。 ⑤目標 副業スタンス 1.アドネスのスキルプラスでスキルの取得を４０% 2.ADD物販を４０% 3.個人的なMスキルアップを２０％ と位置付けして活動していきます。 限られた時間を最大限且つ有効活用していくつもりです。 ⑥目標金額について 月１０万（年間１２０万）の収入を目指しています。 ⑦意気込み 確かにお金は欲しいかも知れません。お金があればより良い生活が送れるのは事実であります。 ですが私が求めているのは、他にあります。 （では何の為にこの企画に参加したの？と不思議に思われますが…人にはそれぞれ生き方があるのでご容赦下さい） ですがせっかく縁あって、この素晴らしい企画に参加出来る事を誇りに思い、出来る限り頑張って成果を出して行ければ幸いです。 また◯◯さんにも出会え、新たな人脈が広がりとても嬉しく思います。 ではこれからよろしくお願いします。,2026-05-24 01:47:54,3309
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯様 何時も御連絡ありがとうございます。 今、ADD×ONEプロジェクトに参加させて頂いてます。 スキルプラスの学びは、お休みしてます😅,2026-05-24 12:05:16,3338
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ONE寄りなので、スキルプラス寄りのビジネスなら考えます。,2026-05-24 12:12:06,3349
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,回答は前回のと同じですが、 ADDxONEに入りました。 ◯◯さんの物販ONEとスキルプラスを比べると、何か違いますね。 なんでしょう・・・ 物販ONEの方がやることが自分に合ってるという感じです。,2026-05-24 12:49:49,3375
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さん、お久しぶりです！！(ok) 元気ですかー？ 「ずっと在籍し続けてくださってる◯◯さん」って(汗) 入会一ヶ月アナウンスはちょっと戸惑いましたね。 長文になりましたが、アンケートお送りしました。 他責すぎて…笑っちゃいますが！ ずっと気になっているのですが、 私はいつまでスキルプラスのサービス対象でいられるのでしょうか。 新しくなったっぽい中身は気になってますが、ログイン方法がようやく分かった、というタイミングでADD✕ONEの案内が来てしまったことで浮気してます。 もっとアドネスカラーも入ってるサービスかと思っていたのですが、違ってましたね💦 タイミングを見て、スキルプラスも…と目論んではいるのですがどうなることやら…です(flattering) 今後ともよろしくお願いします。,2026-05-24 13:51:54,3391
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ADOとOneの企画はスキルプラス生の方どのくらい実際、参加されてるんですか。,2026-05-24 14:42:03,3404
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,ご回答ありがとうございます。 重ねての質問失礼いたします。 AIカレッジ 質問部屋 AIカレッジ 交流LINE アドネス掲示板 アドプロ交流LINE アドネス スキルプラス ◯◯さん これらが現在、アドネス関係で登録されているものになりますが、学習をしたいとなったときに、必須になるものは、こちらのサポートLINEだけで良いということでしょうか？ よろしくお願いいたします,2026-05-24 21:12:28,3464
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯@個別サポートはスキルプラスの プログラムで間違えないですか？,2026-05-25 21:52:32,3554
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,サクセスラーニングとスキルプラスは別ですか？ スキルプラスは入れたのでもしかし,2026-05-27 15:48:02,3712
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スタジオはスキルプラスで習うことはできますか？,2026-05-29 20:24:53,3900
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さま お世話になっております！ ご返信をありがとうございます。 なんとか100日達成できました！ こ◯◯さまのお力添えあってのことです。 ひとりでは無理でした💦 本当にありがとうございました。 はじめは何のことかわからず理解に苦しんだAIは、 今や私にとってなくてはならないパートナーです。 チャッピーとも毎日3時間くらいしゃべり倒してます、笑 最後は人間が決めることではありますが、 アイデアを引き出してくれたり、背中を押してくれたりするAIは 本当に素晴らしいですよね！ 本日もこっそりスキルプラスでの学びを進めております... 今後ともどうぞよろしくお願いいたします！,2026-05-30 20:52:14,3988
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,サポートというのは、スキルプラス内でのAIでの誘導ですね😀,2026/05/31,4010
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お声がけ頂いたのは、◯◯さんで、スキルプラス内でのサポートでも、物販コースまでの誘導ありました。 でも、それで見つかりませんでした💦 ないから、当たり前ですよね😅,2026/05/31,4011
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯さま こんばんは！ メッセージをありがとうございます。 たとえ実体がなくとも、寄り添ってくれる存在は 本当に心強いです。 スキルプラスに参加して、AIに出会えたよかったと、 心から思っています。 いつかM-1グランプリに出場できた暁には ぜひ応援してやってくださいませ、笑 引き続きどうぞよろしくお願いいたします！,2026-06-01 20:33:54,4124
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,いつもお世話になっております。 現在スタンダードプランに加入しているのですが、全てのコースが選択出来なくなっていてどうしたら良いのでしょうか,2026-06-03 13:29:04,4267
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスを辞めたいのですが、どうしたらいいですか？,2026-06-03 17:02:53,4285
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お世話になっております 6/20スキルプラス合宿の参加を検討しておりますが 具体的な内容は何になるでしょうか。,2026-06-03 19:12:44,4296
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスの内容は保存されますか？,2026-06-04 23:59:38,4391
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お世話になります。 Meta広告を使用して、現在遺伝子トレーニングを導入いただいている◯◯様のLPの宣伝をかけてみたいと思います。 ◯◯さんもしくは◯◯さんの内容で見ておくとよいコンテンツや注意することはありますか？ 今のところ、ミニマムの金額でターゲット層は40代〜50代身体を真剣に変えたい男女なので、Facebookでと考えています。 よろしくお願い致します🙇,2026-06-05 09:23:43,4404
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,お世話になっております！ ◯◯さんにお話ししたのですが、◯◯さんにご連絡してとのことでした💦,2026-06-06 16:37:34,4523
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,◯◯様 ご返信をありがとうございます。 引っ越し後はスキルプラス合宿や毎日作業会に参加しやすくなると思っています。 スキルプラス合宿は有料でしょうか？,2026-06-07 13:31:01,4581
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラス辞めたいです。,2026-06-07 19:27:53,4603
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,私はまだスキルプラスって受講できる資格があるのでしょうか？,2026-06-10 20:02:37,4909
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,私はまだスキルプラスって受講できる資格があるのでしょうか？,2026-06-10 20:02:37,4910
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,こちらこそ、お忙しい中ご対応いただきありがとうございます。 もう少し時間をかけてスキルプラスの学習を続けてみようと思います。 本日はありがとうございました。,2026-06-12 15:38:18,5067
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスの勉強をするのに。 最低限必要なスペックを、教えて頂きたいです。,2026/06/13,5111
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスの勉強をするのに。 最低限必要なスペックを、教えて頂きたいです。,2026-06-13 20:03:06,5162
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラスの勉強をするのに。 最低限必要なスペックを、教えて頂きたいです。,2026-06-13 20:03:06,5163
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,スキルプラス サポートのラインを文字通り、全て削除したあとで、サポートラインに連絡も取れず、困り果てて電話しましたが、繋がりませんでした。今は、開けるようになりましたが、前みたいにサクッとは開かず、30,2026-06-15 22:02:07,5312
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,まえスキルプラスの商材を 一緒に売ってくれる人募集してたの見たんですけど、 そこは、どうなんですか？,2026-06-18 18:02:50,5551
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,まえスキルプラスの商材を 一緒に売ってくれる人募集してたの見たんですけど、 そこは、どうなんですか？,2026-06-18 18:02:50,5552
G1-01,🧭学習① これからの進め方,どのコース/再開/プラン,まえスキルプラスの商材を 一緒に売ってくれる人募集してたの見たんですけど、 そこは、どうなんですか？,2026-06-18 18:02:50,5553
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,ありがとうございました！ ゴール設定のシート作成出来たのでご確認お願いいたします☺️,2026-05-01 20:07:38,420
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,ゴール設定コースを追加したいです,2026-05-03 21:29:04,691
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,ゴール設定とコースとその他コースがうまく連携できてなくて、学習が進まない,2026-05-05 04:33:04,913
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,すいません、、 本日のゴール設定の日時の変更をお願いしたいのですが、可能でしょうか、、 8の14-18時 11の14-20時 あいております いかがでしょうか？🙇‍♀️,2026-05-06 08:40:20,1051
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,ゴール設定コース,2026-05-07 20:48:04,1361
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,ゴール設定1on 1お願いします。,2026-05-09 08:39:56,1544
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,ご返信ありがとうございます。 入門とゴール設定以外のコースはすべて鍵がついた状態で選択できないようです。,2026-05-10 09:13:09,1611
G1-02,🧭学習① これからの進め方,ゴール設定・目標設定,ご返信ありがとうございます。 入門とゴール設定以外のコースはすべて鍵がついた状態で選択できないようです。,2026-05-10 09:13:09,1612
