束ID,9相談,束（同じ返しで対応できる質問の束）,件数,繋ぎ先,ステータス,回答本文（スキルプラスくん・そのまま送れる完成文）,備考
G2-05,📘学習② 講義の内容で分からない,API/MCP/連携/GAS/GitHub,19,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○（いま取り組んでるアクション）」の話だよね？ どこが分からない？教えてね😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（頻出定型のみ固定回答化し、残りは下の講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ角度を変えて答え直す
→ それでもダメなら:
オッケー、ここは講師に繋ぐのがいちばん早いね！「①何をしたい ②どこで詰まってる」だけ教えてくれたら、こっちで整えて講師に送っておくよ。
→ 講師に送っておいたよ！24時間以内に返事くるからね😊",枠（入口/解決確認/講師繋ぎ）の文言は確定。分岐の中身の固定回答化範囲のみ未定
G2-06,📘学習② 講義の内容で分からない,プロンプト/操作・概念,14,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○（いま取り組んでるアクション）」の話だよね？ どこが分からない？教えてね😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（頻出定型のみ固定回答化し、残りは下の講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ角度を変えて答え直す
→ それでもダメなら:
オッケー、ここは講師に繋ぐのがいちばん早いね！「①何をしたい ②どこで詰まってる」だけ教えてくれたら、こっちで整えて講師に送っておくよ。
→ 講師に送っておいたよ！24時間以内に返事くるからね😊",枠（入口/解決確認/講師繋ぎ）の文言は確定。分岐の中身の固定回答化範囲のみ未定
G2-07,📘学習② 講義の内容で分からない,技術エラー(動かない/実行できない),5,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○（いま取り組んでるアクション）」の話だよね？ どこが分からない？教えてね😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（頻出定型のみ固定回答化し、残りは下の講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ角度を変えて答え直す
→ それでもダメなら:
オッケー、ここは講師に繋ぐのがいちばん早いね！「①何をしたい ②どこで詰まってる」だけ教えてくれたら、こっちで整えて講師に送っておくよ。
→ 講師に送っておいたよ！24時間以内に返事くるからね😊",枠（入口/解決確認/講師繋ぎ）の文言は確定。分岐の中身の固定回答化範囲のみ未定
G3-01,✍️学習③ 作ったものを添削してほしい,ポートフォリオ/成果物を見てほしい,175,講師/CS担当,✅確定（受け取り＋聞き取り文）,"（入口）今この「○○」の話だよね？ 作ったもの、見せて〜！😊
画像・動画・資料・テキスト、どれでもOKだよ。
（受け取ったら必ず聞く）特にどこを見てほしい？ なにか不安なところある？
　例）提案文→通過率を上げたい/プロフィール→信頼感を出したい/コード→動作の安定性 …など
　うまく言葉にできなかったら「とりあえず全体を見て」でも全然OKだよ💡
（そろったら）担当（講師/CS）に送っておいたよ！24時間以内に返事くるね✨",〔要確認: 添削の返し手（AI一次添削か講師か）・画像/動画/URLの受け渡し導線〕
G3-02,✍️学習③ 作ったものを添削してほしい,上記の束に当てはまらない（この相談の共通の返しで対応）,74,講師/CS担当,✅確定（受け取り＋聞き取り文）,"（入口）今この「○○」の話だよね？ 作ったもの、見せて〜！😊
画像・動画・資料・テキスト、どれでもOKだよ。
（受け取ったら必ず聞く）特にどこを見てほしい？ なにか不安なところある？
　例）提案文→通過率を上げたい/プロフィール→信頼感を出したい/コード→動作の安定性 …など
　うまく言葉にできなかったら「とりあえず全体を見て」でも全然OKだよ💡
（そろったら）担当（講師/CS）に送っておいたよ！24時間以内に返事くるね✨",〔要確認: 添削の返し手（AI一次添削か講師か）・画像/動画/URLの受け渡し導線〕
G3-03,✍️学習③ 作ったものを添削してほしい,提案文・プロフィールの添削,8,講師/CS担当,✅確定（受け取り＋聞き取り文）,"（入口）今この「○○」の話だよね？ 作ったもの、見せて〜！😊
画像・動画・資料・テキスト、どれでもOKだよ。
（受け取ったら必ず聞く）特にどこを見てほしい？ なにか不安なところある？
　例）提案文→通過率を上げたい/プロフィール→信頼感を出したい/コード→動作の安定性 …など
　うまく言葉にできなかったら「とりあえず全体を見て」でも全然OKだよ💡
（そろったら）担当（講師/CS）に送っておいたよ！24時間以内に返事くるね✨",〔要確認: 添削の返し手（AI一次添削か講師か）・画像/動画/URLの受け渡し導線〕
G3-04,✍️学習③ 作ったものを添削してほしい,記事・文章の添削,8,講師/CS担当,✅確定（受け取り＋聞き取り文）,"（入口）今この「○○」の話だよね？ 作ったもの、見せて〜！😊
画像・動画・資料・テキスト、どれでもOKだよ。
（受け取ったら必ず聞く）特にどこを見てほしい？ なにか不安なところある？
　例）提案文→通過率を上げたい/プロフィール→信頼感を出したい/コード→動作の安定性 …など
　うまく言葉にできなかったら「とりあえず全体を見て」でも全然OKだよ💡
（そろったら）担当（講師/CS）に送っておいたよ！24時間以内に返事くるね✨",〔要確認: 添削の返し手（AI一次添削か講師か）・画像/動画/URLの受け渡し導線〕
G3-05,✍️学習③ 作ったものを添削してほしい,アプリ・ツール・制作物のレビュー,3,講師/CS担当,✅確定（受け取り＋聞き取り文）,"（入口）今この「○○」の話だよね？ 作ったもの、見せて〜！😊
画像・動画・資料・テキスト、どれでもOKだよ。
（受け取ったら必ず聞く）特にどこを見てほしい？ なにか不安なところある？
　例）提案文→通過率を上げたい/プロフィール→信頼感を出したい/コード→動作の安定性 …など
　うまく言葉にできなかったら「とりあえず全体を見て」でも全然OKだよ💡
（そろったら）担当（講師/CS）に送っておいたよ！24時間以内に返事くるね✨",〔要確認: 添削の返し手（AI一次添削か講師か）・画像/動画/URLの受け渡し導線〕
G4-01,💼学習④ 案件・お客様対応の相談,案件の探し方・応募・媒体,169,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○」の話だよね？ どうした？くわしく教えて😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（一般論の頻出定型のみ固定回答化し、残りは講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ答え直す
→ それでもダメ → 状況を整理して講師に繋ぐね。24時間以内に返事くるよ！",個別性が高い案件の面談導線の位置は確認点
G4-02,💼学習④ 案件・お客様対応の相談,マネタイズ・収益・集客,85,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○」の話だよね？ どうした？くわしく教えて😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（一般論の頻出定型のみ固定回答化し、残りは講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ答え直す
→ それでもダメ → 状況を整理して講師に繋ぐね。24時間以内に返事くるよ！",個別性が高い案件の面談導線の位置は確認点
G4-03,💼学習④ 案件・お客様対応の相談,クライアント対応・納品,20,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○」の話だよね？ どうした？くわしく教えて😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（一般論の頻出定型のみ固定回答化し、残りは講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ答え直す
→ それでもダメ → 状況を整理して講師に繋ぐね。24時間以内に返事くるよ！",個別性が高い案件の面談導線の位置は確認点
G4-04,💼学習④ 案件・お客様対応の相談,単価・見積・提案・報酬,18,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○」の話だよね？ どうした？くわしく教えて😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（一般論の頻出定型のみ固定回答化し、残りは講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ答え直す
→ それでもダメ → 状況を整理して講師に繋ぐね。24時間以内に返事くるよ！",個別性が高い案件の面談導線の位置は確認点
G4-05,💼学習④ 案件・お客様対応の相談,上記の束に当てはまらない（この相談の共通の返しで対応）,17,その場 → 未解決なら講師,〔要確認: 固定回答化の範囲＝菅さん確認事項〕,"（入口）今この「○○」の話だよね？ どうした？くわしく教えて😊
※中身の回答: LLMなし実装でどこまで固定回答化するかは菅さん確認事項（一般論の頻出定型のみ固定回答化し、残りは講師繋ぎへ、が当方の推し）
（回答後）これで解決した？
　✅解決した → 次のアクションへ送り出す
　🔁まだ → 「もしかして、こういうこと？」と一度だけ答え直す
→ それでもダメ → 状況を整理して講師に繋ぐね。24時間以内に返事くるよ！",個別性が高い案件の面談導線の位置は確認点
S1-01,🛠️サービス① エラー・不具合,コース解放・ロック解除,115,その場（一次対応）→ 未解決ならサポート,〔要確認: 全コース一括解放リンクの最新URL〕,"ロックは「コースがまだ追加されてない」だけの状態だよ。下の『全コース一括解放リンク』から解放できるから試してみてね！反映されない時はサポートに繋ぐね😊
▼全コース一括解放リンク：（最新URLを掲載）
（解決しない場合の聞き取り→サポートへ）
直らなかったら、サポートにスムーズに繋ぐために順番に教えてね（1つずつでOK）👇
①どんな症状？（何が起きてる？）
②その画面のスクショ（これは必須📸）
③使ってる端末は？（スマホ/PC・機種）
④ブラウザは？（Chrome/Safari など）
→ ぜんぶ整えてサポートに渡すね。24時間以内に返事くるよ😊",恒久リダイレクトURL推奨（本文を不変にできる）
S1-02,🛠️サービス① エラー・不具合,ログイン不可/白画面/PW,82,その場（一次対応）→ 未解決ならサポート,✅確定（A-03）,"ログインできない時は、ログイン画面の「パスワードを忘れた方はこちら」から再設定してみてね。
画面が真っ白・419エラー・先に進めない時は、受講生サイトのページを一回ぜんぶ閉じてから入り直してみて（ブラウザのcookie/キャッシュ削除も効くよ）💡 直ったら教えてね！
（解決しない場合の聞き取り→サポートへ）
直らなかったら、サポートにスムーズに繋ぐために順番に教えてね（1つずつでOK）👇
①どんな症状？（何が起きてる？）
②その画面のスクショ（これは必須📸）
③使ってる端末は？（スマホ/PC・機種）
④ブラウザは？（Chrome/Safari など）
→ ぜんぶ整えてサポートに渡すね。24時間以内に返事くるよ😊",
S1-03,🛠️サービス① エラー・不具合,アカウント・メール・通知,49,情報収集 → サポート,✅確定（聞き取りフロー）,"（解決しない場合の聞き取り→サポートへ）
直らなかったら、サポートにスムーズに繋ぐために順番に教えてね（1つずつでOK）👇
①どんな症状？（何が起きてる？）
②その画面のスクショ（これは必須📸）
③使ってる端末は？（スマホ/PC・機種）
④ブラウザは？（Chrome/Safari など）
→ ぜんぶ整えてサポートに渡すね。24時間以内に返事くるよ😊",固定の一次対応を持たない症状は聞き取り→サポート直行
S1-04,🛠️サービス① エラー・不具合,動画再生・視聴・音声,41,その場（一次対応）→ 未解決ならサポート,✅確定（A-15）,"まず①ページを一回ぜんぶ閉じて入り直す（cookie/キャッシュ削除も◎）②端末の音量・ミュートとプレイヤー側の音量③通信環境を変える/別ブラウザで開く、を試してみて。
「次に進めない」時は、視聴完了の操作や次の設問ボタンの位置も確認してみてね💡
（解決しない場合の聞き取り→サポートへ）
直らなかったら、サポートにスムーズに繋ぐために順番に教えてね（1つずつでOK）👇
①どんな症状？（何が起きてる？）
②その画面のスクショ（これは必須📸）
③使ってる端末は？（スマホ/PC・機種）
④ブラウザは？（Chrome/Safari など）
→ ぜんぶ整えてサポートに渡すね。24時間以内に返事くるよ😊",
S1-05,🛠️サービス① エラー・不具合,上記の束に当てはまらない（この相談の共通の返しで対応）,24,情報収集 → サポート,✅確定（聞き取りフロー）,"（解決しない場合の聞き取り→サポートへ）
直らなかったら、サポートにスムーズに繋ぐために順番に教えてね（1つずつでOK）👇
①どんな症状？（何が起きてる？）
②その画面のスクショ（これは必須📸）
③使ってる端末は？（スマホ/PC・機種）
④ブラウザは？（Chrome/Safari など）
→ ぜんぶ整えてサポートに渡すね。24時間以内に返事くるよ😊",固定の一次対応を持たない症状は聞き取り→サポート直行
S1-06,🛠️サービス① エラー・不具合,なんでもサポートくん,22,その場（一次対応）→ 未解決ならサポート,✅確定（A-10）,"順番がずれたら「設問◯から始めて」と番号で指示すると正しい位置に戻るよ。起動しない（network error）時は、一回閉じて開き直すと動くことが多いよ。ゴール設定コースが外れてると使えないから、その時はサポートに繋ぐね😊
（解決しない場合の聞き取り→サポートへ）
直らなかったら、サポートにスムーズに繋ぐために順番に教えてね（1つずつでOK）👇
①どんな症状？（何が起きてる？）
②その画面のスクショ（これは必須📸）
③使ってる端末は？（スマホ/PC・機種）
④ブラウザは？（Chrome/Safari など）
→ ぜんぶ整えてサポートに渡すね。24時間以内に返事くるよ😊",
S1-07,🛠️サービス① エラー・不具合,LINE友だち追加・公式LINE導線の不具合,19,その場（一次対応）→ 未解決ならサポート,〔要確認: 各導線の正規の友だち追加URL・QR〕,友だち追加ができない時は、①追加用リンク/QRをもう一度開く ②LINEアプリを最新版に更新 ③Wi-Fi/モバイルなど通信環境を変える、を試してみてね。海外版のLINE（海外App Store）だと参加できないことがあるよ。それでもダメなら、お名前と「どの案内から追加しようとしたか」のスクショを添えて教えてね😊,その他バケツから昇格した束
S1-08,🛠️サービス① エラー・不具合,表示崩れ・反映・同期,11,その場（一次対応）→ 未解決ならサポート,✅確定（A-13）,"受講生サイトはアップデートで画面構成が変わることがあるけど、機能は新しい画面に引き継がれてるよ。履歴・進捗が消えたように見える時は、一回ぜんぶ閉じて入り直す/キャッシュ削除して再読み込みを試してみて。それでも戻らなかったら、状況（いつ・どの画面で・何が消えたか）を添えてサポートに繋ぐね。
（解決しない場合の聞き取り→サポートへ）
直らなかったら、サポートにスムーズに繋ぐために順番に教えてね（1つずつでOK）👇
①どんな症状？（何が起きてる？）
②その画面のスクショ（これは必須📸）
③使ってる端末は？（スマホ/PC・機種）
④ブラウザは？（Chrome/Safari など）
→ ぜんぶ整えてサポートに渡すね。24時間以内に返事くるよ😊",
S2-01,📅サービス② 予約の確認・変更,面談・1on1・コンサルの予約,499,情報収集 → サポート,✅確定（情報収集文）,"予約のことだね、まかせて！スムーズに進めるために教えてほしいな😊
①お名前
②何の予約？（面談/1on1/セミナー/合宿 など）
③やりたいこと（新規予約/確認/日程変更/キャンセル）
④希望の日時（あれば候補を2〜3個）
→ 内容を整えてサポートに繋ぐね。24時間以内に返事くるよ💡",
S2-02,📅サービス② 予約の確認・変更,イベント参加・申込(セミナー/合宿/勉強会),200,情報収集 → サポート,✅確定（情報収集文）,"予約のことだね、まかせて！スムーズに進めるために教えてほしいな😊
①お名前
②何の予約？（面談/1on1/セミナー/合宿 など）
③やりたいこと（新規予約/確認/日程変更/キャンセル）
④希望の日時（あれば候補を2〜3個）
→ 内容を整えてサポートに繋ぐね。24時間以内に返事くるよ💡",
S2-03,📅サービス② 予約の確認・変更,日程変更・再予約・キャンセル,95,情報収集 → サポート,✅確定（情報収集文）,"予約のことだね、まかせて！スムーズに進めるために教えてほしいな😊
①お名前
②何の予約？（面談/1on1/セミナー/合宿 など）
③やりたいこと（新規予約/確認/日程変更/キャンセル）
④希望の日時（あれば候補を2〜3個）
→ 内容を整えてサポートに繋ぐね。24時間以内に返事くるよ💡",
S2-04,📅サービス② 予約の確認・変更,入室方法・リンク,34,情報収集 → サポート,〔要確認: 入室リンクの正規の取得場所/再送の正式導線〕,入室は、予約完了の案内 or 予約システムのリンクから入れるよ。リンクが見当たらない・届かない時は、面談日時とお名前を教えてくれたらサポートに繋ぐね😊（24時間以内に返事くるよ）,
S2-05,📅サービス② 予約の確認・変更,上記の束に当てはまらない（この相談の共通の返しで対応）,14,情報収集 → サポート,✅確定（情報収集文）,"予約のことだね、まかせて！スムーズに進めるために教えてほしいな😊
①お名前
②何の予約？（面談/1on1/セミナー/合宿 など）
③やりたいこと（新規予約/確認/日程変更/キャンセル）
④希望の日時（あれば候補を2〜3個）
→ 内容を整えてサポートに繋ぐね。24時間以内に返事くるよ💡",
S3-01,💳サービス③ お支払い・ご契約,解約・退会・休会・返金,334,サポート（必ず人・特に丁寧に）,✅確定,"ご相談ありがとう。不安にさせていたらごめんね。ここは正確にお伝えしたいから、担当者にしっかり繋ぐね🙇
①お名前 ②いま気になっていること を教えてもらえる？順番に確認してご連絡します。24時間以内にお返事するね。",金額・条件・可否をAIが即答しない（v9大前提）
S3-02,💳サービス③ お支払い・ご契約,料金・受講料・プラン・契約内容,130,サポート（必ず人）,✅確定（一般案内文）,"お支払い・ご契約のことだね。正確にお伝えしたいから、ここは担当者からきちんとご案内するね🙇
さしつかえなければ教えてください👇
①お名前
②どんなご相談か（例：料金/請求/受講期間/契約更新 など、ざっくりでOK）
→ 内容を整えて担当に繋ぎます。24時間以内にお返事するね。",トンマナはこの相談だけ少し丁寧め（人格は同じ）
S3-03,💳サービス③ お支払い・ご契約,上記の束に当てはまらない（この相談の共通の返しで対応）,95,サポート（必ず人）,✅確定（一般案内文）,"お支払い・ご契約のことだね。正確にお伝えしたいから、ここは担当者からきちんとご案内するね🙇
さしつかえなければ教えてください👇
①お名前
②どんなご相談か（例：料金/請求/受講期間/契約更新 など、ざっくりでOK）
→ 内容を整えて担当に繋ぎます。24時間以内にお返事するね。",トンマナはこの相談だけ少し丁寧め（人格は同じ）
S3-04,💳サービス③ お支払い・ご契約,引き落とし・支払いトラブル,31,サポート（必ず人）,"〔要確認: 毎月の少額引き落とし（例:2,900円）の名目〕","ご連絡ありがとう。状況を正確に確認したいから担当者に繋ぐね🙇
引き落とし日・金額・明細の表記（決済名義）を教えてもらえる？内容を確認のうえご案内します。24時間以内にお返事するね。",
S3-05,💳サービス③ お支払い・ご契約,クレーム・不信・クーリングオフ,26,サポート（必ず人・最優先）,✅確定,"不安な気持ちにさせてしまって本当にごめんね。ここは曖昧にせず、正確にお伝えできるよう担当者から直接ご連絡するね🙇
①お名前 ②気がかりな点（見聞きした内容など）を教えてもらえる？必ず順番に確認してご案内します。24時間以内にお返事するね。",AIで打ち消し・断定しない。必ず人へ
S3-06,💳サービス③ お支払い・ご契約,受講期間・延長・更新,20,サポート（必ず人）,〔要確認: 受講期間/保証期間/期間終了後の閲覧可否/更新条件・料金〕,"お支払い・ご契約のことだね。正確にお伝えしたいから、ここは担当者からきちんとご案内するね🙇
さしつかえなければ教えてください👇
①お名前
②どんなご相談か（例：料金/請求/受講期間/契約更新 など、ざっくりでOK）
→ 内容を整えて担当に繋ぎます。24時間以内にお返事するね。",
